tamanho,estado,rodada,tempo_execucao,comparacoes,movimentacoes
100,1,1,0.000007,20000,200
100,1,2,0.000006,20000,200
100,1,3,0.000006,20000,200
100,1,4,0.000006,20000,200
100,1,5,0.000007,20000,200
100,2,1,0.000017,20000,200
100,2,2,0.000017,20000,200
100,2,3,0.000017,20000,200
100,2,4,0.000018,20000,200
100,2,5,0.000038,20000,200
100,3,1,0.000007,20000,200
100,3,2,0.000005,20000,200
100,3,3,0.000006,20000,200
100,3,4,0.000007,20000,200
100,3,5,0.000006,20000,200
1000,1,1,0.000408,2000000,2000
1000,1,2,0.000321,2000000,2000
1000,1,3,0.000339,2000000,2000
1000,1,4,0.000319,2000000,2000
1000,1,5,0.000344,2000000,2000
1000,2,1,0.001401,2000000,2000
1000,2,2,0.001487,2000000,2000
1000,2,3,0.001444,2000000,2000
1000,2,4,0.001598,2000000,2000
1000,2,5,0.001578,2000000,2000
1000,3,1,0.000489,2000000,2000
1000,3,2,0.000361,2000000,2000
1000,3,3,0.000378,2000000,2000
1000,3,4,0.000417,2000000,2000
1000,3,5,0.000386,2000000,2000
10000,1,1,0.029494,200000000,20000
10000,1,2,0.029077,200000000,20000
10000,1,3,0.028611,200000000,20000
10000,1,4,0.028770,200000000,20000
10000,1,5,0.028391,200000000,20000
10000,2,1,0.196268,200000000,20000
10000,2,2,0.194969,200000000,20000
10000,2,3,0.195052,200000000,20000
10000,2,4,0.201986,200000000,20000
10000,2,5,0.194753,200000000,20000
10000,3,1,0.033628,200000000,20000
10000,3,2,0.034133,200000000,20000
10000,3,3,0.034618,200000000,20000
10000,3,4,0.035034,200000000,20000
10000,3,5,0.038024,200000000,20000
100000,1,1,3.051374,20000000000,200000
100000,1,2,2.868971,20000000000,200000
100000,1,3,2.889528,20000000000,200000
100000,1,4,3.034705,20000000000,200000
100000,1,5,2.895249,20000000000,200000
100000,2,1,20.051662,20000000000,200000
100000,2,2,21.407540,20000000000,200000
100000,2,3,21.212681,20000000000,200000
100000,2,4,21.117830,20000000000,200000
100000,2,5,20.327501,20000000000,200000
100000,3,1,3.477761,20000000000,200000
100000,3,2,3.381950,20000000000,200000
100000,3,3,3.476413,20000000000,200000
100000,3,4,3.439632,20000000000,200000
100000,3,5,3.675268,20000000000,200000
