tamanho,estado,rodada,tempo_execucao,comparacoes,movimentacoes
100,1,1,0.000001,453,36
100,1,2,0.000001,453,36
100,1,3,0.000001,453,36
100,1,4,0.000002,453,36
100,1,5,0.000000,453,36
100,2,1,0.000003,584,204
100,2,2,0.000003,558,214
100,2,3,0.000003,541,209
100,2,4,0.000002,556,217
100,2,5,0.000003,579,215
100,3,1,0.000001,458,88
100,3,2,0.000000,458,88
100,3,3,0.000001,458,88
100,3,4,0.000001,458,88
100,3,5,0.000001,458,88
1000,1,1,0.000005,7964,488
1000,1,2,0.000004,7964,488
1000,1,3,0.000005,7964,488
1000,1,4,0.000005,7964,488
1000,1,5,0.000005,7964,488
1000,2,1,0.000035,9603,2928
1000,2,2,0.000035,9528,2897
1000,2,3,0.000033,10088,2886
1000,2,4,0.000033,9514,2917
1000,2,5,0.000034,9398,2877
1000,3,1,0.000006,7972,990
1000,3,2,0.000005,7972,990
1000,3,3,0.000005,7972,990
1000,3,4,0.000005,7972,990
1000,3,5,0.000005,7972,990
10000,1,1,0.000052,111822,4095
10000,1,2,0.000055,111822,4095
10000,1,3,0.000055,111822,4095
10000,1,4,0.000056,111822,4095
10000,1,5,0.000054,111822,4095
10000,2,1,0.000394,141771,36551
10000,2,2,0.000405,134775,36638
10000,2,3,0.000400,134712,36628
10000,2,4,0.000417,136990,36752
10000,2,5,0.000397,138445,36666
10000,3,1,0.000060,111832,9096
10000,3,2,0.000054,111832,9096
10000,3,3,0.000055,111832,9096
10000,3,4,0.000054,111832,9096
10000,3,5,0.000054,111832,9096
100000,1,1,0.000595,1437875,34464
100000,1,2,0.000592,1437875,34464
100000,1,3,0.000645,1437875,34464
100000,1,4,0.000699,1437875,34464
100000,1,5,0.000675,1437875,34464
100000,2,1,0.005041,1728990,447621
100000,2,2,0.005132,1735648,448561
100000,2,3,0.004970,1729926,447136
100000,2,4,0.004891,1729645,447100
100000,2,5,0.004677,1762755,445700
100000,3,1,0.000640,1437890,84466
100000,3,2,0.000648,1437890,84466
100000,3,3,0.000651,1437890,84466
100000,3,4,0.000657,1437890,84466
100000,3,5,0.000611,1437890,84466
