tamanho,estado,rodada,tempo_execucao,comparacoes,movimentacoes
100,1,1,0.000004,1081,640
100,1,2,0.000002,1081,640
100,1,3,0.000002,1081,640
100,1,4,0.000001,1081,640
100,1,5,0.000001,1081,640
100,2,1,0.000004,1035,591
100,2,2,0.000004,1040,592
100,2,3,0.000003,1022,582
100,2,4,0.000003,1028,585
100,2,5,0.000003,1031,583
100,3,1,0.000003,944,516
100,3,2,0.000001,944,516
100,3,3,0.000001,944,516
100,3,4,0.000001,944,516
100,3,5,0.000001,944,516
1000,1,1,0.000038,17583,9708
1000,1,2,0.000035,17583,9708
1000,1,3,0.000033,17583,9708
1000,1,4,0.000033,17583,9708
1000,1,5,0.000032,17583,9708
1000,2,1,0.000043,16853,9062
1000,2,2,0.000043,16897,9119
1000,2,3,0.000043,16782,9040
1000,2,4,0.000043,16820,9046
1000,2,5,0.000042,16799,9073
1000,3,1,0.000035,15965,8316
1000,3,2,0.000033,15965,8316
1000,3,3,0.000030,15965,8316
1000,3,4,0.000029,15965,8316
1000,3,5,0.000029,15965,8316
10000,1,1,0.000566,244460,131956
10000,1,2,0.000381,244460,131956
10000,1,3,0.000395,244460,131956
10000,1,4,0.000362,244460,131956
10000,1,5,0.000373,244460,131956
10000,2,1,0.000577,235375,124154
10000,2,2,0.000534,235370,124208
10000,2,3,0.000536,235274,124270
10000,2,4,0.000551,235285,124182
10000,2,5,0.000535,235388,124225
10000,3,1,0.000401,226682,116696
10000,3,2,0.000393,226682,116696
10000,3,3,0.000386,226682,116696
10000,3,4,0.000384,226682,116696
10000,3,5,0.000387,226682,116696
100000,1,1,0.004219,3112517,1650854
100000,1,2,0.004176,3112517,1650854
100000,1,3,0.003908,3112517,1650854
100000,1,4,0.003731,3112517,1650854
100000,1,5,0.003941,3112517,1650854
100000,2,1,0.007312,3019033,1574731
100000,2,2,0.006953,3019929,1575297
100000,2,3,0.006798,3019907,1575322
100000,2,4,0.006800,3019506,1574916
100000,2,5,0.006833,3019486,1574795
100000,3,1,0.004003,2926640,1497434
100000,3,2,0.004195,2926640,1497434
100000,3,3,0.004350,2926640,1497434
100000,3,4,0.004036,2926640,1497434
100000,3,5,0.003962,2926640,1497434
