tamanho,estado,rodada,tempo_execucao,comparacoes,movimentacoes
100,1,1,0.000002,399,600
100,1,2,0.000001,399,600
100,1,3,0.000001,399,600
100,1,4,0.000001,399,600
100,1,5,0.000001,399,600
100,2,1,0.000001,399,600
100,2,2,0.000001,399,600
100,2,3,0.000001,399,600
100,2,4,0.000001,399,600
100,2,5,0.000001,399,600
100,3,1,0.000001,399,600
100,3,2,0.000001,399,600
100,3,3,0.000002,399,600
100,3,4,0.000001,399,600
100,3,5,0.000001,399,600
1000,1,1,0.000013,4999,8000
1000,1,2,0.000011,4999,8000
1000,1,3,0.000012,4999,8000
1000,1,4,0.000012,4999,8000
1000,1,5,0.000012,4999,8000
1000,2,1,0.000012,4999,8000
1000,2,2,0.000012,4999,8000
1000,2,3,0.000011,4999,8000
1000,2,4,0.000011,4999,8000
1000,2,5,0.000012,4999,8000
1000,3,1,0.000012,4999,8000
1000,3,2,0.000012,4999,8000
1000,3,3,0.000012,4999,8000
1000,3,4,0.000465,4999,8000
1000,3,5,0.000230,4999,8000
10000,1,1,0.000178,59999,100000
10000,1,2,0.000147,59999,100000
10000,1,3,0.000145,59999,100000
10000,1,4,0.000147,59999,100000
10000,1,5,0.000232,59999,100000
10000,2,1,0.000173,59999,100000
10000,2,2,0.000146,59999,100000
10000,2,3,0.000146,59999,100000
10000,2,4,0.000146,59999,100000
10000,2,5,0.000152,59999,100000
10000,3,1,0.000148,59999,100000
10000,3,2,0.000148,59999,100000
10000,3,3,0.000148,59999,100000
10000,3,4,0.000149,59999,100000
10000,3,5,0.000203,59999,100000
100000,1,1,0.002584,699999,1200000
100000,1,2,0.002613,699999,1200000
100000,1,3,0.002086,699999,1200000
100000,1,4,0.002778,699999,1200000
100000,1,5,0.001839,699999,1200000
100000,2,1,0.001957,699999,1200000
100000,2,2,0.001975,699999,1200000
100000,2,3,0.001871,699999,1200000
100000,2,4,0.002064,699999,1200000
100000,2,5,0.002521,699999,1200000
100000,3,1,0.003153,699999,1200000
100000,3,2,0.001884,699999,1200000
100000,3,3,0.001827,699999,1200000
100000,3,4,0.001810,699999,1200000
100000,3,5,0.002398,699999,1200000
