tamanho,estado,rodada,tempo_execucao,comparacoes,movimentacoes
100,1,1,0.000005,4950,0
100,1,2,0.000005,4950,0
100,1,3,0.000005,4950,0
100,1,4,0.000005,4950,0
100,1,5,0.000005,4950,0
100,2,1,0.000009,4950,99
100,2,2,0.000008,4950,98
100,2,3,0.000009,4950,98
100,2,4,0.000008,4950,93
100,2,5,0.000009,4950,93
100,3,1,0.000008,4950,50
100,3,2,0.000007,4950,50
100,3,3,0.000007,4950,50
100,3,4,0.000007,4950,50
100,3,5,0.000007,4950,50
1000,1,1,0.000779,499500,0
1000,1,2,0.000775,499500,0
1000,1,3,0.000764,499500,0
1000,1,4,0.000771,499500,0
1000,1,5,0.000793,499500,0
1000,2,1,0.000808,499500,994
1000,2,2,0.000819,499500,993
1000,2,3,0.000831,499500,994
1000,2,4,0.000868,499500,996
1000,2,5,0.000831,499500,991
1000,3,1,0.005326,499500,500
1000,3,2,0.001612,499500,500
1000,3,3,0.000805,499500,500
1000,3,4,0.001470,499500,500
1000,3,5,0.001200,499500,500
10000,1,1,0.092886,49995000,0
10000,1,2,0.083955,49995000,0
10000,1,3,0.084629,49995000,0
10000,1,4,0.083755,49995000,0
10000,1,5,0.084274,49995000,0
10000,2,1,0.083263,49995000,9992
10000,2,2,0.091715,49995000,9992
10000,2,3,0.088851,49995000,9990
10000,2,4,0.084921,49995000,9986
10000,2,5,0.085328,49995000,9989
10000,3,1,0.084507,49995000,5000
10000,3,2,0.086457,49995000,5000
10000,3,3,0.084569,49995000,5000
10000,3,4,0.084883,49995000,5000
10000,3,5,0.084560,49995000,5000
100000,1,1,8.334850,4999950000,0
100000,1,2,8.364334,4999950000,0
100000,1,3,8.364980,4999950000,0
100000,1,4,8.345218,4999950000,0
100000,1,5,8.376530,4999950000,0
100000,2,1,8.390169,4999950000,99987
100000,2,2,8.353089,4999950000,99991
100000,2,3,8.360669,4999950000,99984
100000,2,4,8.350071,4999950000,99988
100000,2,5,8.367931,4999950000,99989
100000,3,1,8.334154,4999950000,50000
100000,3,2,8.324876,4999950000,50000
100000,3,3,8.531962,4999950000,50000
100000,3,4,8.923645,4999950000,50000
100000,3,5,9.116217,4999950000,50000
