tamanho,estado,rodada,tempo_execucao,comparacoes,movimentacoes
100,1,1,0.000001,99,99
100,1,2,0.000001,99,99
100,1,3,0.000001,99,99
100,1,4,0.000000,99,99
100,1,5,0.000000,99,99
100,2,1,0.000003,2725,2728
100,2,2,0.000004,2811,2817
100,2,3,0.000003,2212,2215
100,2,4,0.000002,2511,2516
100,2,5,0.000003,2481,2484
100,3,1,0.000004,4950,5049
100,3,2,0.000003,4950,5049
100,3,3,0.000004,4950,5049
100,3,4,0.000004,4950,5049
100,3,5,0.000004,4950,5049
1000,1,1,0.000001,999,999
1000,1,2,0.000001,999,999
1000,1,3,0.000000,999,999
1000,1,4,0.000001,999,999
1000,1,5,0.000001,999,999
1000,2,1,0.000114,258637,258647
1000,2,2,0.000142,249083,249088
1000,2,3,0.000115,257074,257079
1000,2,4,0.000137,257945,257951
1000,2,5,0.000111,253800,253812
1000,3,1,0.000224,499500,500499
1000,3,2,0.000215,499500,500499
1000,3,3,0.000215,499500,500499
1000,3,4,0.000216,499500,500499
1000,3,5,0.000214,499500,500499
10000,1,1,0.000006,9999,9999
10000,1,2,0.000006,9999,9999
10000,1,3,0.000008,9999,9999
10000,1,4,0.000008,9999,9999
10000,1,5,0.000008,9999,9999
10000,2,1,0.010605,25029839,25029847
10000,2,2,0.010942,24760502,24760505
10000,2,3,0.011125,25183855,25183869
10000,2,4,0.010576,24892998,24893007
10000,2,5,0.010873,24996876,24996882
10000,3,1,0.021558,49995000,50004999
10000,3,2,0.025543,49995000,50004999
10000,3,3,0.020888,49995000,50004999
10000,3,4,0.021298,49995000,50004999
10000,3,5,0.022241,49995000,50004999
100000,1,1,0.000075,99999,99999
100000,1,2,0.000093,99999,99999
100000,1,3,0.000064,99999,99999
100000,1,4,0.000063,99999,99999
100000,1,5,0.000073,99999,99999
100000,2,1,1.137215,2501324378,2501324392
100000,2,2,1.094829,2492027652,2492027660
100000,2,3,1.077927,2490056455,2490056463
100000,2,4,1.086648,2497128635,2497128643
100000,2,5,1.091655,2507868119,2507868128
100000,3,1,2.173985,4999950000,5000049999
100000,3,2,2.173975,4999950000,5000049999
100000,3,3,2.175691,4999950000,5000049999
100000,3,4,2.155468,4999950000,5000049999
100000,3,5,2.166925,4999950000,5000049999
