tamanho,estado,rodada,tempo_execucao,comparacoes,movimentacoes
100,1,1,0.000001,342,342
100,1,2,0.000001,342,342
100,1,3,0.000001,342,342
100,1,4,0.000001,342,342
100,1,5,0.000000,342,342
100,2,1,0.000003,782,827
100,2,2,0.000003,753,790
100,2,3,0.000002,718,760
100,2,4,0.000003,746,787
100,2,5,0.000002,793,829
100,3,1,0.000001,500,572
100,3,2,0.000001,500,572
100,3,3,0.000001,500,572
100,3,4,0.000001,500,572
100,3,5,0.000000,500,572
1000,1,1,0.000005,5457,5457
1000,1,2,0.000004,5457,5457
1000,1,3,0.000004,5457,5457
1000,1,4,0.000004,5457,5457
1000,1,5,0.000004,5457,5457
1000,2,1,0.000041,13732,14193
1000,2,2,0.000039,13912,14332
1000,2,3,0.000046,14432,14879
1000,2,4,0.000040,13352,13787
1000,2,5,0.000039,13112,13538
1000,3,1,0.000012,8550,9377
1000,3,2,0.000010,8550,9377
1000,3,3,0.000008,8550,9377
1000,3,4,0.000008,8550,9377
1000,3,5,0.000009,8550,9377
10000,1,1,0.000063,75243,75243
10000,1,2,0.000064,75243,75243
10000,1,3,0.000059,75243,75243
10000,1,4,0.000059,75243,75243
10000,1,5,0.000061,75243,75243
10000,2,1,0.000569,232669,236991
10000,2,2,0.000546,235085,239463
10000,2,3,0.000529,224318,228665
10000,2,4,0.000532,231263,235619
10000,2,5,0.000546,221800,226216
10000,3,1,0.000112,120190,128947
10000,3,2,0.000116,120190,128947
10000,3,3,0.000103,120190,128947
10000,3,4,0.000102,120190,128947
10000,3,5,0.000112,120190,128947
100000,1,1,0.000748,967146,967146
100000,1,2,0.000790,967146,967146
100000,1,3,0.000798,967146,967146
100000,1,4,0.000818,967146,967146
100000,1,5,0.000808,967146,967146
100000,2,1,0.007626,3858612,3900081
100000,2,2,0.007717,4081214,4122473
100000,2,3,0.007939,3948987,3990098
100000,2,4,0.007594,4011587,4052876
100000,2,5,0.007868,3843272,3884791
100000,3,1,0.001352,1533494,1586800
100000,3,2,0.001338,1533494,1586800
100000,3,3,0.001388,1533494,1586800
100000,3,4,0.001402,1533494,1586800
100000,3,5,0.001349,1533494,1586800
